source,target,score
TRPM4,TRPC4,0.00041999999999999996
TRPM4,ORAI2,0.00046100000000000004
TRPM4,TRPC5,0.00047599999999999997
TRPM4,ORAI3,0.00048699999999999997
TRPM4,ORAI1,0.000488
TRPM4,STIM2,0.00049
TRPM4,STIM1,0.0005899999999999999
TRPM4,TRPV6,0.000749
TRPM4,TRPV2,0.000848
TRPM4,TRPC1,0.000852
TRPM4,TRPC6,0.000871
TRPM4,TRPC3,0.0009429999999999999
TRPC5,TRPM2,0.000495
TRPC5,TRPV6,0.0006540000000000001
TRPC5,TRPV2,0.0007199999999999999
TRPC5,STIM2,0.000758
TRPC5,ORAI1,0.000767
TRPC5,ORAI2,0.000781
TRPC5,ORAI3,0.000791
TRPC5,TRPC6,0.0008719999999999999
TRPC5,TRPC3,0.000958
TRPC5,STIM1,0.000973
TRPC5,TRPC4,0.000997
TRPC5,TRPC1,0.000999
ORAI3,TRPV2,0.000465
ORAI3,TRPV6,0.0005949999999999999
ORAI3,TRPM2,0.000665
ORAI3,TRPC6,0.000823
ORAI3,TRPC4,0.000825
ORAI3,TRPC1,0.000901
ORAI3,TRPC3,0.000948
ORAI3,ORAI2,0.000998
ORAI3,ORAI1,0.000998
ORAI3,STIM2,0.000999
ORAI3,STIM1,0.000999
TRPC6,TRPM2,0.0006879999999999999
TRPC6,TRPV6,0.0007199999999999999
TRPC6,TRPV2,0.000761
TRPC6,ORAI1,0.000804
TRPC6,TRPC4,0.0008129999999999999
TRPC6,STIM2,0.000885
TRPC6,TRPC1,0.000939
TRPC6,TRPC3,0.0009519999999999999
TRPC6,STIM1,0.000971
TRPC6,ORAI2,0.000983
TRPV2,ORAI2,0.000422
TRPV2,ORAI1,0.000464
TRPV2,STIM1,0.000514
TRPV2,TRPC4,0.000736
TRPV2,TRPC3,0.000745
TRPV2,TRPC1,0.000844
TRPV2,TRPM2,0.000963
ORAI2,TRPV6,0.00046800000000000005
ORAI2,TRPM2,0.000662
ORAI2,TRPC4,0.000825
ORAI2,TRPC3,0.000905
ORAI2,TRPC1,0.000963
ORAI2,ORAI1,0.000994
ORAI2,STIM1,0.000999
ORAI2,STIM2,0.000999
TRPV6,STIM2,0.000483
TRPV6,ORAI1,0.000587
TRPV6,STIM1,0.0006
TRPV6,TRPM2,0.000612
TRPV6,TRPC4,0.0006850000000000001
TRPV6,TRPC3,0.000695
TRPV6,TRPC1,0.000844
TRPC3,TRPM2,0.000504
TRPC3,STIM2,0.000876
TRPC3,ORAI1,0.000941
TRPC3,STIM1,0.000955
TRPC3,TRPC1,0.0009809999999999999
TRPC3,TRPC4,0.00099
TRPM2,TRPC1,0.000499
TRPM2,TRPC4,0.000502
TRPM2,STIM2,0.00067
TRPM2,ORAI1,0.0007
TRPM2,STIM1,0.000728
STIM2,TRPC4,0.000816
STIM2,TRPC1,0.0009360000000000001
STIM2,STIM1,0.000987
STIM2,ORAI1,0.000999
TRPC1,ORAI1,0.000996
TRPC1,TRPC4,0.000999
TRPC1,STIM1,0.000999
STIM1,TRPC4,0.000971
STIM1,ORAI1,0.000999
ORAI1,TRPC4,0.000883
