gene,category,degree,degree_centrality,betweenness_centrality,is_seed_gene
TRPC1,SOCE,11,0.1833,0.0395,True
CDH2,EMT,10,0.1667,0.037,True
STIM1,SOCE,10,0.1667,0.026,True
TRPC6,SOCE,10,0.1667,0.0568,True
CDH1,EMT,10,0.1667,0.0342,True
VIM,EMT,10,0.1667,0.0254,True
ABCB1,MDR,10,0.1667,0.0254,True
ORAI1,SOCE,10,0.1667,0.0477,True
ORAI2,Neighbor,4,0.0667,0.0,False
TRPC3,Neighbor,4,0.0667,0.0169,False
CTNND1,Neighbor,2,0.0333,0.0,False
TRPV4,Neighbor,2,0.0333,0.0,False
TRPC4,Neighbor,2,0.0333,0.0,False
TRPC5,Neighbor,2,0.0333,0.0,False
CTNNB1,Neighbor,2,0.0333,0.0,False
ORAI3,Neighbor,2,0.0333,0.0,False
STIM2,Neighbor,2,0.0333,0.0,False
ITPR1,Neighbor,2,0.0333,0.0,False
CTNNA1,Neighbor,2,0.0333,0.0,False
JUP,Neighbor,2,0.0333,0.0,False
NCAM1,Neighbor,1,0.0167,0.0,False
NPHS2,Neighbor,1,0.0167,0.0,False
NPHS1,Neighbor,1,0.0167,0.0,False
VCL,Neighbor,1,0.0167,0.0,False
GRIA2,Neighbor,1,0.0167,0.0,False
EGFR,Neighbor,1,0.0167,0.0,False
IQGAP1,Neighbor,1,0.0167,0.0,False
KLRG1,Neighbor,1,0.0167,0.0,False
ITGAE,Neighbor,1,0.0167,0.0,False
BMPR2,Neighbor,1,0.0167,0.0,False
PRKG2,Neighbor,1,0.0167,0.0,False
PRKG1,Neighbor,1,0.0167,0.0,False
CDH11,Neighbor,1,0.0167,0.0,False
FGFR1,Neighbor,1,0.0167,0.0,False
GJA1,Neighbor,1,0.0167,0.0,False
ITPR3,Neighbor,1,0.0167,0.0,False
DES,Neighbor,1,0.0167,0.0,False
HLA-DRB1,Neighbor,1,0.0167,0.0,False
CASP7,Neighbor,1,0.0167,0.0,False
ZEB1,Neighbor,1,0.0167,0.0,False
PLEC,Neighbor,1,0.0167,0.0,False
GAN,Neighbor,1,0.0167,0.0,False
CASP3,Neighbor,1,0.0167,0.0,False
HLA-DRA,Neighbor,1,0.0167,0.0,False
PKD2,Neighbor,1,0.0167,0.0,False
ZEB2,Neighbor,1,0.0167,0.0,False
NEFM,Neighbor,1,0.0167,0.0,False
CYP3A5,Neighbor,1,0.0167,0.0,False
IGKV2D-29,Neighbor,1,0.0167,0.0,False
CYP3A4,Neighbor,1,0.0167,0.0,False
SLCO1B1,Neighbor,1,0.0167,0.0,False
CYP2C19,Neighbor,1,0.0167,0.0,False
SLCO1B3,Neighbor,1,0.0167,0.0,False
NR1I2,Neighbor,1,0.0167,0.0,False
ABCF2-2,Neighbor,1,0.0167,0.0,False
ABCF2,Neighbor,1,0.0167,0.0,False
PPIG,Neighbor,1,0.0167,0.0,False
CALM3,Neighbor,1,0.0167,0.0,False
CALM1,Neighbor,1,0.0167,0.0,False
PRKACA,Neighbor,1,0.0167,0.0,False
PRKACB,Neighbor,1,0.0167,0.0,False
