Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__Bile Acid Metabolism,0.5807169863102334,1.9787261707467994,0.0,0.0,0.0,31/81,13.16%,AKR1D1;CYP39A1;CAT;APOA1;NR1H4;TTR;ALDH8A1;BCAR3;SERPINA6;ISOC1;IDH1;PECR;PFKM;FADS1;PIPOX;PEX13;DHCR24;ACSL5;ALDH1A1;GCLM;PHYH;CYP27A1;PEX12;PRDX5;SLC23A2;RETSAT;ACSL1;AMACR;ALDH9A1;SLC29A1;IDI1
prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.4958987509817693,1.7943944567596044,0.0,0.007165034631000717,0.012,42/139,14.79%,CFB;ICAM1;MT2A;APOL6;CD38;UBE2L6;IFITM3;OAS3;SERPING1;CXCL10;TNFAIP3;HLA-A;HLA-B;SOCS3;CFH;ISOC1;MTHFD2;NFKBIA;USP18;WARS1;B2M;SOD2;MX2;TRAFD1;NAMPT;PELI1;MX1;PLA2G4A;STAT1;C1S;CASP3;LATS2;CASP8;TRIM26;CASP7;PSMA2;STAT3;SPPL2A;NMI;IL4R;SOCS1;JAK2
prerank,MSigDB_Hallmark_2020__Epithelial Mesenchymal Transition,-0.4990913999611976,-1.7495470912141997,0.0,0.015482539136418371,0.018,42/141,6.91%,FBN1;NID2;LUM;TIMP1;DKK1;COL4A1;GADD45B;GPC1;COL1A1;CDH6;COL4A2;FBN2;PRRX1;COL16A1;IGFBP3;SERPINE1;MMP14;FSTL3;SLC6A8;CCN1;LOXL2;FLNA;DAB2;TPM4;SPP1;NOTCH2;SLIT2;TNFRSF12A;THBS1;GJA1;MATN3;MEST;SGCB;LGALS1;TGFBI;FUCA1;TGFB1;PMP22;QSOX1;PVR;FZD8;PLAUR
prerank,MSigDB_Hallmark_2020__Coagulation,0.4705923816578261,1.654813337225931,0.0,0.01791258657750179,0.044,31/99,6.57%,CFB;MEP1A;CPN1;C3;SERPINA1;A2M;ACOX2;APOA1;SERPING1;SERPINC1;CPB2;TFPI2;C8A;LRP1;TIMP3;CFH;FGA;APOC3;ANXA1;F2;PECAM1;DPP4;TF;MST1;PLAU;F3;CAPN2;SPARC;DUSP6;CFI;APOC1
prerank,MSigDB_Hallmark_2020__Xenobiotic Metabolism,0.43992268065550894,1.6501091142005408,0.0,0.014330069262001434,0.047,44/161,12.44%,CES1;FABP1;CFB;MT2A;VTN;HMOX1;ACOX2;RBP4;CAT;GCNT2;CYP2J2;SLC35D1;MAN1A1;SERPINA6;LPIN2;CDO1;ALDH2;IDH1;AKR1C2;TMEM97;ATP2A2;ADH5;TKFC;APOE;DDC;ALAS1;BLVRB;ABCC2;F11;CYP1A1;ASL;ARPP19;CYP27A1;PROS1;MCCC2;ARG1;AP4B1;RETSAT;HNF4A;ACOX1;ACP1;MPP2;ALDH9A1;TPST1
prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.519980962818213,1.6320298189531475,0.004424778761061947,0.013613565798901361,0.056,17/55,9.92%,CD38;OSMR;A2M;CSF1;HMOX1;CXCL1;CXCL3;CXCL10;IL17RB;SOCS3;CD44;ACVR1B;MAP3K8;EBI3;GRB2;STAT1;PTPN11
prerank,MSigDB_Hallmark_2020__Myogenesis,-0.45379488518131855,-1.5640060110333105,0.003472222222222222,0.07956304833992775,0.171,31/116,10.17%,NQO1;GADD45B;SOD3;COL1A1;COL4A2;SMTN;IGFBP3;SLC6A8;MYH9;AGRN;PDLIM7;PLXNB2;ENO3;SCHIP1;PPP1R3C;SCD;FDPS;ADCY9;TGFB1;HSPB8;APP;KLF5;CRAT;CACNA1H;BHLHE40;SPTAN1;PRNP;AGL;TSC2;PSEN2;CFD
prerank,MSigDB_Hallmark_2020__Unfolded Protein Response,0.4248365490235434,1.5224032509123684,0.009779951100244499,0.038810604251253884,0.179,37/108,20.25%,STC2;PSAT1;CEBPB;IMP3;KIF5B;HSP90B1;XPOT;ERO1A;MTHFD2;RRP9;PDIA6;PDIA5;EIF4EBP1;EDEM1;FKBP14;SLC1A4;DDIT4;HSPA9;TATDN2;ASNS;TSPYL2;YIF1A;BANF1;DNAJB9;SEC11A;EXOSC4;NPM1;CHAC1;HSPA5;ATF4;CALR;LSM1;HYOU1;ERN1;EXOSC1;NOLC1;CEBPG
prerank,MSigDB_Hallmark_2020__Apical Junction,-0.4290615949509769,-1.5154986746309185,0.0017482517482517483,0.09174838006766443,0.267,40/144,14.20%,FBN1;FLNC;LAYN;CDH6;GRB7;CRB3;COL16A1;FSCN1;RAC2;MYH9;VASP;SLIT2;NF2;CLDN6;LDLRAP1;MDK;GAMT;SDC3;TGFBI;RHOF;PKD1;ADAM9;INSIG1;CRAT;VCL;CD99;ZYX;HADH;PTEN;ADAM15;RRAS;EGFR;CLDN7;NECTIN1;PPP2R2C;ACTN4;MVD;TAOK2;PARVA;ACTG1
prerank,MSigDB_Hallmark_2020__KRAS Signaling Up,0.41822289498690235,1.5112939915430545,0.002421307506053269,0.03787232590671807,0.197,34/128,9.70%,RELN;SERPINA3;CFB;CCL20;HDAC9;SLPI;RBP4;CPE;NR1H4;BIRC3;CXCL10;TNFAIP3;MPZL2;CFH;PECAM1;MYCN;USP12;GABRA3;ST6GAL1;ERO1A;PLAU;TFPI;TMEM176A;TMEM158;DUSP6;BTBD3;AKAP12;KIF5C;PTBP2;SOX9;ARG1;TRIB1;CBR4;ADAM17
