target,partner,spearman_r,p_value
STIM1,IL6R,0.414,0.0
STIM1,ABCC2,0.3667,0.0
STIM1,MTOR,0.3288,0.0
STIM1,ITPR2,0.3265,0.0
STIM1,MAPK1,0.3007,0.0
STIM1,RAF1,0.2696,0.0
STIM1,RELA,0.2526,1e-06
STIM1,ABCG2,0.2491,1e-06
STIM1,FN1,0.2393,3e-06
STIM1,YAP1,0.188,0.000271
STIM1,CDH2,0.1714,0.00092
STIM1,JAK1,0.1563,0.002533
STIM1,ABCB1,0.1438,0.005538
STIM1,ZEB1,0.138,0.007768
STIM1,ITPR1,0.0652,0.210259
STIM1,AKT1,0.0596,0.252273
STIM1,BCL2L1,0.0443,0.394969
STIM1,TRPC6,0.0428,0.411212
STIM1,CDH1,0.0308,0.55376
STIM1,NFKB1,0.0158,0.761115
STIM1,ZEB2,0.0031,0.952175
STIM1,HIF1A,-0.0073,0.888696
STIM1,TRPC4,-0.0174,0.738887
STIM1,STIM2,-0.0221,0.671864
STIM1,STAT3,-0.0222,0.670175
STIM1,BCL2,-0.0355,0.495594
STIM1,MMP2,-0.057,0.27354
STIM1,MCL1,-0.0639,0.21926
STIM1,TRPC3,-0.0951,0.067323
STIM1,SNAI1,-0.1349,0.00927
STIM1,ABCC1,-0.1562,0.002554
STIM1,ORAI1,-0.1591,0.002116
STIM1,VIM,-0.1787,0.000542
STIM1,TRPC1,-0.2002,0.000103
STIM1,MMP9,-0.2227,1.5e-05
STIM1,TWIST1,-0.2326,6e-06
STIM1,TP53,-0.2391,3e-06
STIM1,ORAI2,-0.2947,0.0
STIM1,BAX,-0.3724,0.0
TRPC6,VIM,0.4838,0.0
TRPC6,ZEB2,0.4503,0.0
TRPC6,TRPC4,0.3985,0.0
TRPC6,MMP2,0.3934,0.0
TRPC6,ZEB1,0.393,0.0
TRPC6,TWIST1,0.3875,0.0
TRPC6,ITPR1,0.3622,0.0
TRPC6,SNAI1,0.309,0.0
TRPC6,STIM2,0.2824,0.0
TRPC6,JAK1,0.2768,0.0
TRPC6,BCL2,0.2723,0.0
TRPC6,HIF1A,0.2712,0.0
TRPC6,NFKB1,0.2419,2e-06
TRPC6,TRPC3,0.2379,4e-06
TRPC6,ORAI2,0.2316,7e-06
TRPC6,YAP1,0.1772,0.000608
TRPC6,ABCC1,0.1459,0.004871
TRPC6,CDH1,0.1298,0.012344
TRPC6,MAPK1,0.1267,0.014636
TRPC6,STAT3,0.1207,0.020005
TRPC6,CDH2,0.1092,0.035506
TRPC6,FN1,0.1083,0.036993
TRPC6,ABCG2,0.1057,0.041893
TRPC6,MMP9,0.0845,0.104244
TRPC6,MCL1,0.0794,0.12707
TRPC6,IL6R,0.0771,0.138519
TRPC6,TRPC1,0.0482,0.35457
TRPC6,MTOR,0.047,0.366496
TRPC6,STIM1,0.0428,0.411212
TRPC6,AKT1,0.0269,0.606148
TRPC6,ITPR2,0.0255,0.623845
TRPC6,RELA,0.002,0.969978
TRPC6,ABCB1,0.0013,0.97979
TRPC6,RAF1,-0.0092,0.860381
TRPC6,ABCC2,-0.0304,0.559072
TRPC6,BCL2L1,-0.0369,0.478738
TRPC6,ORAI1,-0.0373,0.473358
TRPC6,TP53,-0.0427,0.412138
TRPC6,BAX,-0.1427,0.005893
