,risk_score,group,STIM1,TRPC6,TRPC1,ORAI1
TCGA-2V-A95S-01,-0.42465938532393116,Low,2369.1155,23.4566,35.1849,818.3743
TCGA-2Y-A9GS-01,0.9698179303324418,High,3038.4426,10.8428,11.3356,372.5973
TCGA-2Y-A9GT-01,0.8364373517563715,High,2895.315,52.9029,13.4499,455.5033
TCGA-2Y-A9GU-01,0.6251333826086954,High,2152.0803,22.5218,12.5121,174.3352
TCGA-2Y-A9GV-01,0.664259217142004,High,2191.2014,49.0694,5.9222,253.8071
TCGA-2Y-A9GW-01,-0.28753995199894994,Low,1903.4483,22.9885,39.0805,485.8238
TCGA-2Y-A9GX-01,0.05603080167297118,High,2495.1515,22.4242,61.8182,438.1818
TCGA-2Y-A9GY-01,-0.9527613831790464,Low,1872.5228,3.2137,120.5142,423.1387
TCGA-2Y-A9GZ-01,2.0098402929986956,High,3874.4027,8.1911,4.0956,161.0922
TCGA-2Y-A9H0-01,-1.3672504779731096,Low,2775.7272,9.3838,108.852,1192.3678
TCGA-2Y-A9H1-01,-0.5504583050647359,Low,1686.0364,5.782,1.1564,710.0318
TCGA-2Y-A9H2-01,-0.13786517224573738,Low,1539.6265,38.8693,18.6774,352.8521
TCGA-2Y-A9H3-01,-1.454903399012659,Low,1178.66,39.7022,39.7022,892.0596
TCGA-2Y-A9H4-01,1.0147308147729701,High,3167.7466,17.2786,2.8798,463.6429
TCGA-2Y-A9H5-01,0.7873988568366996,High,3396.3795,13.1086,47.4407,475.6554
TCGA-2Y-A9H6-01,-0.506347095662672,Low,1381.3215,15.5039,25.1015,428.2023
TCGA-2Y-A9H7-01,-0.4983229186319383,Low,2390.5089,4.0023,85.7633,573.4706
TCGA-2Y-A9H8-01,-0.5192894666137549,Low,1599.6856,10.0778,47.0298,417.2216
TCGA-2Y-A9H9-01,0.8452013377750407,High,2505.482,16.5172,5.6956,232.3793
TCGA-2Y-A9HA-01,0.48229902938713415,High,3387.9159,15.7618,46.4098,672.5044
TCGA-2Y-A9HB-01,0.19527663288480382,High,2191.969,10.7479,15.5247,423.9439
TCGA-3K-AAZ8-01,-0.041417009556495396,Low,2219.5913,4.5102,6.7653,619.0275
TCGA-4R-AA8I-01,0.4516801637967427,High,2425.8242,13.0495,23.3516,340.6593
TCGA-5C-A9VG-01,-0.8899315949190669,Low,681.7181,40.7489,32.489,338.1057
TCGA-5C-A9VH-01,0.31623010167228277,High,2772.2567,34.5066,50.3796,492.7536
TCGA-5C-AAPD-01,-1.1979833884117232,Low,1129.9694,20.6422,30.581,719.419
TCGA-5R-AA1C-01,-0.1858564183280553,Low,2062.8763,1.1512,21.872,547.9515
TCGA-5R-AA1D-01,-0.7680445447326089,Low,1186.593,146.51,89.15,411.8867
TCGA-5R-AAAM-01,0.4399078741395086,High,2701.6743,6.0883,26.6362,451.2938
TCGA-BC-4072-01,-0.14655186487777827,Low,2433.9188,63.509,131.9851,246.5851
TCGA-BC-4073-01,-0.39237946945590474,Low,1706.7704,24.2452,39.3413,456.9991
TCGA-BC-A10Q-01,-2.5142153734886774,Low,1998.705,7.3736,326.2816,392.1831
TCGA-BC-A10R-01,1.346264259478184,High,3929.5178,19.6694,32.236,476.984
TCGA-BC-A10S-01,0.12354108049654221,High,2177.0063,21.6278,11.9522,500.8537
TCGA-BC-A10T-01,0.3566446938003854,High,2460.2353,39.0588,39.5294,381.6471
TCGA-BC-A10U-01,1.0896434479192665,High,3396.3755,17.1933,3.2528,525.5576
TCGA-BC-A10W-01,0.019265921254910758,Low,2050.6212,57.3937,58.5045,329.5509
TCGA-BC-A10X-01,-0.18128624896445206,Low,1843.797,6.0183,31.733,396.6626
TCGA-BC-A10Y-01,0.4288411569244138,High,2146.7846,14.8219,5.7375,315.0849
TCGA-BC-A10Z-01,2.0050942915891903,High,4044.8614,7.3331,18.5485,169.5244
TCGA-BC-A110-01,-0.9081746754748268,Low,1337.3333,37.3333,46.6667,586.6667
TCGA-BC-A112-01,-0.29179741630593553,Low,1602.2484,26.2313,16.06,468.9507
TCGA-BC-A216-01,0.3739773053332496,High,2101.3754,30.5655,20.8864,278.1457
TCGA-BC-A217-01,0.0704696814249909,High,2065.1604,1.9973,31.4567,340.5318
TCGA-BC-A3KF-01,0.3222178431008062,High,2526.1508,32.5171,47.0127,383.5455
TCGA-BC-A3KG-01,0.549719864322484,High,1879.4104,28.3685,11.8202,104.0177
TCGA-BC-A5W4-01,-1.3709937676042439,Low,1976.4263,0.829,19.0679,1260.1376
