molecule_chembl_id,known_name,pref_name,synonyms,molecule_type,max_phase,best_IC50_nM,best_IC50_units,best_EC50_nM,best_inhibition_pct,best_pchembl_value,action_type_clean,standard_types,targets,target_names,num_activities,document_years,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_logp,cx_logd,canonical_smiles
CHEMBL4764496,,,,Unknown,,0.1,nM,,,10.0,BLOCKER,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2021.0,375.40,2.94,5,1,59.97,3,0,,,Cc1ccc(Cn2c(N3CC[C@@H](F)[C@H](N)C3)nc3cc(F)c(F)cc32)nc1
CHEMBL4741505,,,,Unknown,,0.2,nM,,,9.7,BLOCKER,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2021.0,362.36,2.03,6,1,72.86,3,0,,,N[C@@H]1CN(c2nc3ccc(F)cc3n2Cc2ncc(F)cn2)CC[C@H]1F
CHEMBL5567030,,,,,,0.22,nM,,,9.66,ANTAGONIST,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2024.0,333.43,3.03,4,1,62.28,3,0,,,N#Cc1ccc(O[C@@H]2c3ccccc3C[C@@H]2N2CCC[C@@H](N)C2)cc1
CHEMBL4752852,,,,Unknown,,0.3,nM,,,9.52,BLOCKER,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2021.0,395.82,3.44,5,1,59.97,3,0,,,N[C@@H]1CN(c2nc3cc(F)ccc3n2Cc2ccc(Cl)cn2)CCC1(F)F
CHEMBL4746182,,,,Unknown,,0.4,nM,,,9.4,BLOCKER,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2021.0,361.37,2.63,5,1,59.97,3,0,,,N[C@@H]1CN(c2nc3ccc(F)cc3n2Cc2ccc(F)cn2)CC[C@H]1F
CHEMBL4776935,,,,Unknown,,0.4,nM,,,9.4,BLOCKER,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2021.0,408.84,2.55,7,1,82.09,4,0,,,COc1cc(F)c2nc(N3CC[C@@H](F)[C@H](N)C3)n(Cc3ncc(Cl)cn3)c2c1
CHEMBL4753871,,,,Unknown,,0.4,nM,,,9.4,BLOCKER,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2021.0,362.36,2.03,6,1,72.86,3,0,,,N[C@@H]1CN(c2nc3cc(F)ccc3n2Cc2ncc(F)cn2)CC[C@H]1F
CHEMBL5832744,,,,,,2.8,nM,,,8.55,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,328.44,2.93,4,1,47.08,3,0,,,NC1CCCN(C2CC(c3ccc(F)cc3)CC2n2cccn2)C1
CHEMBL4129456,,,,Small molecule,,3.0,nM,,,8.52,,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2018.0,369.48,3.77,4,1,62.28,3,0,,,C[C@]12CCC(F)=C[C@H]1C[C@@H](N1CCC[C@@H](N)C1)[C@@H]2Oc1ccc(C#N)cc1
CHEMBL5847664,,,,,,3.37,nM,,,8.47,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,329.42,2.33,5,1,59.97,3,0,,,NC1CCCN(C2CC(c3ccc(F)cc3)CC2n2nccn2)C1
CHEMBL5835028,,,,,,3.4,nM,,,8.47,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,346.43,2.88,4,1,47.08,3,0,,,NC1CC(F)CN(C2CC(c3ccc(F)cc3)CC2n2cccn2)C1
CHEMBL5884133,,,,,,3.44,nM,,,8.46,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,374.44,2.68,5,1,64.27,4,0,,,NC1CC(F)CN(C2CC(c3ccc(F)cc3)CC2Oc2ccncn2)C1
CHEMBL5995011,,,,,,3.78,nM,,,8.42,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,354.43,2.20,6,1,83.76,3,0,,,N#Cc1cn(C2CC(c3ccc(F)cc3)CC2N2CCCC(N)C2)nn1
CHEMBL2418809,,,,Small molecule,,4.0,nM,,,8.4,ANTAGONIST,IC50,CHEMBL2417347,Short transient receptor potential channel 6,2,2013.0; 2024.0,411.89,4.67,6,1,63.69,3,0,,,CC1CCCN(C(=O)c2nc(Nc3cc4c(cc3F)OCO4)sc2Cl)C1C
CHEMBL5759191,,,,,,4.06,nM,,,8.39,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,371.44,2.75,5,1,70.87,3,0,,,N#Cc1cnn(C2CC(c3ccc(F)cc3)CC2N2CC(N)CC(F)C2)c1
CHEMBL6047787,,,,,,5.31,nM,,,8.28,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,352.46,3.41,4,1,57.98,3,0,,,N#Cc1ccn(C2CC(c3ccc(F)cc3)CC2N2CCCC(N)C2)c1
CHEMBL5532633,,,,,,5.8,nM,,,8.24,ANTAGONIST,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2024.0,363.54,4.84,3,2,58.56,5,0,,,C=C[C@@](C)(O)CC[C@H]1C(=C)C[C@H](OC(=O)NC)[C@H]2C(C)(C)CCC[C@]12C
CHEMBL6040572,,,,,,6.56,nM,,,8.18,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,390.89,3.39,5,1,64.27,4,0,,,NC1CCCN(C2CC(c3ccc(F)cc3)CC2Oc2nnccc2Cl)C1
CHEMBL5989633,,,,,,7.1,nM,,,8.15,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,354.43,2.20,6,1,83.76,3,0,,,N#Cc1ncn(C2CC(c3ccc(F)cc3)CC2N2CCCC(N)C2)n1
CHEMBL4129809,SAR7334,,,Small molecule,,7.9,nM,,,8.1,ANTAGONIST,IC50,CHEMBL2417347,Short transient receptor potential channel 6,4,2018.0; 2019.0; 2024.0,367.88,3.68,4,1,62.28,3,0,,,N#Cc1ccc(O[C@@H]2c3ccccc3C[C@H]2N2CCC[C@@H](N)C2)c(Cl)c1
CHEMBL5774406,,,,,,7.97,nM,,,8.1,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,353.45,2.80,5,1,70.87,3,0,,,N#Cc1cnn(C2CC(c3ccc(F)cc3)CC2N2CCCC(N)C2)c1
CHEMBL4129805,,,,Small molecule,,8.0,nM,,,8.1,,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2018.0,365.48,2.34,5,1,79.35,3,0,,,N#Cc1ccc(O[C@@H]2[C@@H]3[C@H](C[C@H]2N2CCC[C@@H](N)C2)[C@@H]2CC(=O)[C@H]3C2)cc1
CHEMBL5835965,,,,,,9.51,nM,,,8.02,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,409.51,3.82,5,1,71.51,5,0,,,COc1cc(C2CC(Oc3ccc(C#N)cc3)C(N3CCCC(N)C3)C2)ccc1F
CHEMBL5892236,,,,,,9.51,nM,,,8.02,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,380.47,3.21,5,1,75.17,4,0,,,N#Cc1ccc(OC2CC(c3ccc(F)cc3)CC2N2CCC[C@@H](N)C2)nc1
CHEMBL5792157,,,,,,9.93,nM,,,8.0,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,374.44,2.87,5,1,64.27,4,0,,,NC1CCCN(C2CC(c3ccc(F)cc3)CC2Oc2cc(F)cnn2)C1
CHEMBL5558723,,,,,,10.0,nM,,,8.0,ANTAGONIST,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2024.0,359.45,3.73,6,1,63.69,3,0,,,CC1CC(C)CN(C(=O)c2csc(Nc3ccc4c(c3)OCO4)n2)C1
CHEMBL5839618,,,,,,10.6,nM,,,7.97,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,381.46,2.60,6,1,88.06,4,0,,,N#Cc1ncc(OC2CC(c3ccc(F)cc3)CC2N2CCCC(N)C2)cn1
CHEMBL5870151,,,,,,10.6,nM,,,7.97,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,348.40,1.67,6,1,72.86,3,0,,,NC1CC(F)CN(C2CC(c3ccc(F)cc3)CC2n2ncnn2)C1
CHEMBL4127600,,,,Small molecule,,11.0,nM,,,7.96,,IC50,CHEMBL2417347,Short transient receptor potential channel 6,1,2018.0,367.49,2.88,5,1,79.35,3,0,,,C[C@]12CCC(=O)C[C@H]1C[C@@H](N1CCC[C@@H](N)C1)[C@@H]2Oc1ccc(C#N)cc1
CHEMBL5864721,,,,,,11.5,nM,,,7.94,,IC50; kon; k_off,CHEMBL2417347,Short transient receptor potential channel 6,3,2022.0,381.46,2.60,6,1,88.06,4,0,,,N#Cc1cnc(OC2CC(c3ccc(F)cc3)CC2N2CCCC(N)C2)nc1
