Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,TNFα/NF-κB Signaling (Hallmark),0.776120176652382,1.853445003906484,0.0,0.0,0.0,15/46,8.39%,ICAM1;CXCL3;CD44;TNFAIP3;CXCL1;CXCL2;BIRC3;NFKBIZ;ZC3H12A;SOD2;NFKBIA;NFKB2;MYC;SDC4;TNFAIP2
prerank,TGF-β Signaling (Hallmark),-0.6719446708887548,-1.5184435976116832,0.025830258302583026,0.09657836644591612,0.10040160642570281,13/42,10.80%,GADD45B;BMP2;ID3;BMP4;ID1;SMAD7;SPTBN1;TGFB2;RBL1;TGFB1;ACVR1;SMURF1;SMAD3
prerank,IL-6/JAK/STAT3 Signaling (Hallmark),0.5140256781762511,1.1845086474108437,0.2119205298013245,0.5269500438212095,0.629,10/37,9.77%,ICAM1;CSF1;CXCL3;CXCL1;SOCS3;JAK1;MYC;SOCS1;PIM2;JAK2
prerank,PI3K/AKT/mTOR Signaling (Hallmark),-0.4866209854914798,-1.0669894978732237,0.3464285714285714,0.9092163355408389,0.8634538152610441,5/37,6.35%,IRS2;HIF1A;PTEN;BAD;CCND1
prerank,EMT (Hallmark),-0.4691862185215634,-1.0225865346182148,0.44871794871794873,0.7076281579592838,0.9056224899598394,9/32,9.36%,COL1A1;GPC1;IGFBP3;MMP14;LOXL2;MMP15;THBS1;TGFB1;WIPF1
prerank,Hypoxia (Hallmark),-0.4584784578867519,-1.0196885327627727,0.4216417910447761,0.5378495217071375,0.9086345381526104,8/39,6.27%,CXCR4;PDGFB;IGFBP3;PDGFA;EGLN1;HIF1A;ANGPTL4;BNIP3L
prerank,Drug Resistance / ABC Transporters,0.5118755114237805,0.9831404654574153,0.5105042016806722,0.7982763657610283,0.915,3/15,5.54%,ABCG2;UGT1A1;ABCC2
prerank,Calcium Signaling (KEGG/Literature),-0.3822098966104568,-0.8725767951491905,0.634862385321101,0.6545253863134658,0.9859437751004017,9/44,13.20%,TRPC4;ITPR3;PRKCZ;CALM3;PPP3CB;ORAI2;PLCB1;PPP3CA;CAMK2D
prerank,Apoptosis (Hallmark),0.3566668713196469,0.8547803762950199,0.7308533916849015,0.8766980718667835,0.973,14/45,20.80%,BIRC3;BNIP3;CASP8;CDKN2A;CASP3;CASP7;CDK4;BCLAF1;TNFRSF10B;CDK6;CDKN1A;CHEK1;TNFRSF10A;FADD
prerank,MYC Targets (Hallmark),0.3354127956860726,0.7923022286488334,0.8103448275862069,0.8117879053461875,0.985,16/42,20.33%,MYCN;MYC;POLR1A;DHFR;RPL4;RRM2;MXI1;TYMS;MXD1;CDK4;NCL;MAX;MXD4;CDK6;NPM1;AMD1
