gene,rho
IL6R,0.4148198129660298
ABCC2,0.3683431986869421
RELA,0.2548956402983701
ABCG2,0.2541718675787282
FN1,0.23878071351503338
CDH2,0.1748348156414453
ABCB1,0.14547531056324314
ZEB1,0.13963633773778708
SNAI2,0.10205380926749416
MAP3K7,0.08589586644844031
TRPC6,0.04713726739331141
CDH1,0.026331221520237192
NFKB1,0.01888052477915682
ZEB2,0.003017184168015165
STAT3,-0.025434714544501844
MMP2,-0.059538283877072405
TWIST2,-0.08660893446674159
TNF,-0.09182503475633191
RELB,-0.10509064270555028
IL6,-0.13201800675880296
SNAI1,-0.14115071075406016
ORAI1,-0.1566480027341497
TGFB1,-0.1777458618930657
VIM,-0.17992966686568487
TRPC1,-0.2021642885452908
MMP9,-0.22571858144246743
TWIST1,-0.2312405036622417
