SOCE,EMTF,rho,p_value,n,FDR
STIM1,SNAI1,-0.1412,0.0063217796073465685,373,0.011
STIM1,SNAI2,0.1021,0.048893869022493014,373,0.0652
STIM1,TWIST1,-0.2312,6.41255181098398e-06,373,0.0
STIM1,TWIST2,-0.0866,0.09487547709621659,373,0.1147
STIM1,ZEB1,0.1396,0.006912738876070221,373,0.0116
STIM1,ZEB2,0.003,0.9536880470202201,373,0.9537
STIM1,VIM,-0.1799,0.00047960526585802177,373,0.0011
STIM1,FN1,0.2388,3.10458283234142e-06,373,0.0
STIM1,CDH2,0.1748,0.0006952500105085404,373,0.0015
STIM1,CDH1,0.0263,0.6122099684687557,373,0.6367
STIM1,MMP2,-0.0595,0.2513677285764386,373,0.2842
STIM1,MMP9,-0.2257,1.0742953213408264e-05,373,0.0
STIM1,TGFB1,-0.1777,0.0005630365989929202,373,0.0013
TRPC6,SNAI1,0.301,2.993231755202655e-09,373,0.0
TRPC6,SNAI2,0.1347,0.009186831387329807,373,0.0141
TRPC6,TWIST1,0.3812,2.3990954136719038e-14,373,0.0
TRPC6,TWIST2,0.2077,5.313791866389493e-05,373,0.0001
TRPC6,ZEB1,0.3962,1.794932603797177e-15,373,0.0
TRPC6,ZEB2,0.4516,3.8244017158419105e-20,373,0.0
TRPC6,VIM,0.4802,6.583054592297942e-23,373,0.0
TRPC6,FN1,0.1105,0.032811312076377816,373,0.0449
TRPC6,CDH2,0.1157,0.025439461595299712,373,0.0358
TRPC6,CDH1,0.1304,0.011680120027793896,373,0.0174
TRPC6,MMP2,0.3875,8.241827765979561e-15,373,0.0
TRPC6,MMP9,0.0831,0.10911062118968351,373,0.1261
TRPC6,TGFB1,0.1588,0.0020953092154241807,373,0.004
TRPC1,SNAI1,0.1631,0.0015767991530420238,373,0.0032
TRPC1,SNAI2,-0.1243,0.016343098491618212,373,0.0236
TRPC1,TWIST1,0.3344,3.383412895370198e-11,373,0.0
TRPC1,TWIST2,0.1356,0.008721060308592331,373,0.0141
TRPC1,ZEB1,0.1346,0.009242351900109793,373,0.0141
TRPC1,ZEB2,0.236,4.0799852736661255e-06,373,0.0
TRPC1,VIM,0.2482,1.2119222466952773e-06,373,0.0
TRPC1,FN1,-0.0437,0.39965037323963315,373,0.433
TRPC1,CDH2,0.0115,0.8245820878624337,373,0.8408
TRPC1,CDH1,0.0959,0.06426955611600256,373,0.0836
TRPC1,MMP2,0.2422,2.2219022968585964e-06,373,0.0
TRPC1,MMP9,0.3234,1.5693069137744514e-10,373,0.0
TRPC1,TGFB1,0.3827,1.8567664721395417e-14,373,0.0
ORAI1,SNAI1,0.0479,0.35591785016349053,373,0.3938
ORAI1,SNAI2,0.0297,0.5671248641854978,373,0.6018
ORAI1,TWIST1,0.0952,0.0661996687361906,373,0.084
ORAI1,TWIST2,0.2511,9.015923664627837e-07,373,0.0
ORAI1,ZEB1,-0.1745,0.0007143169189933875,373,0.0015
ORAI1,ZEB2,-0.0859,0.09753190586954881,373,0.1153
ORAI1,VIM,0.1453,0.004914342017862344,373,0.0088
ORAI1,FN1,-0.1546,0.002762843687114347,373,0.0051
ORAI1,CDH2,-0.2346,4.675930049919665e-06,373,0.0
ORAI1,CDH1,-0.352,2.5410272898718634e-12,373,0.0
ORAI1,MMP2,0.0945,0.0681840587597527,373,0.0844
ORAI1,MMP9,0.1839,0.00035657021527061916,373,0.0009
ORAI1,TGFB1,0.2126,3.471388464686436e-05,373,0.0001
