,degree,wt_degree,betweenness,eigenvector,is_seed,category
TRPV2,11,0.007,0.0769,0.2008,False,Other
TRPM4,12,0.008,0.0577,0.2077,False,Other
TRPC4,13,0.01,0.0128,0.2805,False,Other
ORAI2,13,0.01,0.0128,0.2828,False,SOCE
TRPM2,12,0.008,0.0128,0.2064,False,Other
TRPV6,12,0.008,0.0064,0.2095,False,Other
TRPC5,13,0.01,0.0,0.2749,False,Other
ORAI3,13,0.01,0.0,0.2821,False,SOCE
ORAI1,13,0.011,0.0,0.2853,True,SOCE
STIM2,12,0.01,0.0,0.271,False,SOCE
STIM1,13,0.011,0.0,0.301,True,SOCE
TRPC1,13,0.012,0.0,0.3087,True,SOCE
TRPC6,13,0.011,0.0,0.2916,True,SOCE
TRPC3,13,0.011,0.0,0.3006,False,Other
